"","artist_name","Valence","danceability","energy","loudness","speechiness","acousticness","liveness","tempo","track_name","album_name","album_release_year"
"1","Doja Cat","0.726","0.864","0.556","-7.683","0.1940","0.255000","0.1120"," 99.974","Paint The Town Red","Scarlet","2023"
"2","Doja Cat","0.313","0.831","0.362","-6.085","0.2290","0.000156","0.1680","139.941","Demons","Scarlet","2023"
"3","Doja Cat","0.192","0.804","0.656","-5.723","0.0896","0.020700","0.1070","150.014","Wet Vagina","Scarlet","2023"
"4","Doja Cat","0.643","0.764","0.720","-6.494","0.2730","0.196000","0.1110"," 91.337","Fuck The Girls (FTG)","Scarlet","2023"
"5","Doja Cat","0.794","0.854","0.808","-5.958","0.1390","0.019400","0.1080","110.203","Ouchies","Scarlet","2023"
"6","Doja Cat","0.864","0.564","0.796","-2.652","0.3510","0.184000","0.1470","153.586","97","Scarlet","2023"
"7","Doja Cat","0.805","0.885","0.576","-7.170","0.2380","0.069500","0.0993"," 76.004","Gun","Scarlet","2023"
"8","Doja Cat","0.552","0.933","0.533","-8.000","0.0585","0.027000","0.1180","140.991","Go Off","Scarlet","2023"
"9","Doja Cat","0.409","0.763","0.441","-9.043","0.1100","0.034300","0.1320","145.926","Shutcho","Scarlet","2023"
"10","Doja Cat","0.392","0.750","0.674","-6.128","0.0970","0.228000","0.1220","123.026","Agora Hills","Scarlet","2023"
"11","Doja Cat","0.815","0.472","0.790","-4.337","0.3220","0.286000","0.0636"," 77.908","Can't Wait","Scarlet","2023"
"12","Doja Cat","0.593","0.509","0.638","-5.516","0.4750","0.554000","0.1100","171.817","Often","Scarlet","2023"
"13","Doja Cat","0.649","0.597","0.622","-9.593","0.3430","0.616000","0.1210"," 82.361","Love Life","Scarlet","2023"
"14","Doja Cat","0.501","0.632","0.706","-6.127","0.0987","0.106000","0.1430"," 85.000","Skull And Bones","Scarlet","2023"
"15","Doja Cat","0.395","0.758","0.587","-6.932","0.2440","0.130000","0.1090"," 87.997","Attention","Scarlet","2023"
"16","Doja Cat","0.377","0.778","0.626","-4.329","0.1610","0.183000","0.1770","148.022","Balut","Scarlet","2023"
"17","Doja Cat","0.375","0.895","0.486","-5.937","0.2730","0.004490","0.1190","144.064","WYM Freestyle","Scarlet","2023"
"18","Doja Cat","0.881","0.824","0.764","-4.175","0.0854","0.088800","0.1170","107.998","Woman","Planet Her (Deluxe)","2021"
