,Chart Position,Artist and Title,Position Duration,Peak,(x?),Points,Country,Country Rank
0,1,Doja Cat - Paint The Town Red,68,1,45,16920,US,29.0
1,2,Tate McRae - greedy,27,2,9,14619,US,44.0
2,3,Drake - IDGAF,6,3,1,13364,US,1.0
3,4,Drake - First Person Shooter,6,3,2,12624,US,2.0
4,5,Drake - Virginia Beach,6,2,2,12359,US,3.0
5,6,Olivia Rodrigo - vampire,104,1,22,10868,US,40.0
6,7,Taylor Swift - Cruel Summer,245,1,13,10731,US,51.0
29,30,Billie Eilish - What Was I Made For,90,2,10,5425,US,116.0
32,33,Taylor Swift - Anti-Hero,356,1,50,5108,US,140.0
38,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,US,177.0
61,62,Taylor Swift - Lover,412,3,13,2739,US,147.0
69,70,SZA - Kill Bill,307,1,3,2487,US,62.0
83,84,Travis Scott - MELTDOWN,76,1,3,1860,US,52.0
122,123,Nicki Minaj & Ice Spice - Barbie World,110,2,2,1468,US,173.0
144,145,Travis Scott - FEN,73,2,2,1301,US,125.0
184,185,Chris Brown - Under the Influence,432,2,17,1110,US,92.0
199,1,Doja Cat - Paint The Town Red,68,1,45,16920,UK,1.0
200,2,Tate McRae - greedy,27,2,9,14619,UK,2.0
201,3,Drake - IDGAF,6,3,1,13364,UK,8.0
202,4,Drake - First Person Shooter,6,3,2,12624,UK,5.0
203,5,Drake - Virginia Beach,6,2,2,12359,UK,6.0
204,6,Olivia Rodrigo - vampire,104,1,22,10868,UK,11.0
205,7,Taylor Swift - Cruel Summer,245,1,13,10731,UK,19.0
216,18,Dua Lipa - Dance The Night,139,1,19,7035,UK,28.0
220,22,Dave & Central Cee - Sprinter,132,2,20,6672,UK,16.0
228,30,Billie Eilish - What Was I Made For,90,2,10,5425,UK,49.0
230,32,Miley Cyrus - Flowers,272,1,168,5145,UK,72.0
231,33,Taylor Swift - Anti-Hero,356,1,50,5108,UK,42.0
237,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,UK,41.0
240,42,Harry Styles - As It Was,559,1,177,4017,UK,70.0
246,48,David Kushner - Daylight,181,2,14,3657,UK,123.0
247,49,The Weeknd - Blinding Lights,1354,1,114,3624,UK,90.0
260,62,Taylor Swift - Lover,412,3,13,2739,UK,111.0
268,70,SZA - Kill Bill,307,1,3,2487,UK,184.0
285,87,OneRepublic - I Ain't Worried,492,2,27,1833,UK,158.0
309,111,Post Malone & Swae Lee - Sunflower,1087,3,19,1544,UK,174.0
321,123,Nicki Minaj & Ice Spice - Barbie World,110,2,2,1468,UK,198.0
324,126,Ed Sheeran - Perfect,1982,1,2,1446,UK,136.0
366,168,Glass Animals - Heat Waves,1029,2,13,1177,UK,183.0
383,185,Chris Brown - Under the Influence,432,2,17,1110,UK,119.0
398,1,Doja Cat - Paint The Town Red,68,1,45,16920,JP,165.0
597,1,Doja Cat - Paint The Town Red,68,1,45,16920,DE,3.0
598,2,Tate McRae - greedy,27,2,9,14619,DE,1.0
599,3,Drake - IDGAF,6,3,1,13364,DE,11.0
600,4,Drake - First Person Shooter,6,3,2,12624,DE,16.0
601,5,Drake - Virginia Beach,6,2,2,12359,DE,17.0
602,6,Olivia Rodrigo - vampire,104,1,22,10868,DE,20.0
603,7,Taylor Swift - Cruel Summer,245,1,13,10731,DE,28.0
614,18,Dua Lipa - Dance The Night,139,1,19,7035,DE,34.0
618,22,Dave & Central Cee - Sprinter,132,2,20,6672,DE,56.0
626,30,Billie Eilish - What Was I Made For,90,2,10,5425,DE,89.0
628,32,Miley Cyrus - Flowers,272,1,168,5145,DE,42.0
629,33,Taylor Swift - Anti-Hero,356,1,50,5108,DE,44.0
635,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,DE,162.0
638,42,Harry Styles - As It Was,559,1,177,4017,DE,80.0
644,48,David Kushner - Daylight,181,2,14,3657,DE,39.0
645,49,The Weeknd - Blinding Lights,1354,1,114,3624,DE,73.0
666,70,SZA - Kill Bill,307,1,3,2487,DE,163.0
680,84,Travis Scott - MELTDOWN,76,1,3,1860,DE,170.0
683,87,OneRepublic - I Ain't Worried,492,2,27,1833,DE,117.0
719,123,Nicki Minaj & Ice Spice - Barbie World,110,2,2,1468,DE,174.0
741,145,Travis Scott - FEN,73,2,2,1301,DE,127.0
796,1,Doja Cat - Paint The Town Red,68,1,45,16920,AU,1.0
797,2,Tate McRae - greedy,27,2,9,14619,AU,2.0
798,3,Drake - IDGAF,6,3,1,13364,AU,8.0
799,4,Drake - First Person Shooter,6,3,2,12624,AU,6.0
800,5,Drake - Virginia Beach,6,2,2,12359,AU,10.0
801,6,Olivia Rodrigo - vampire,104,1,22,10868,AU,4.0
802,7,Taylor Swift - Cruel Summer,245,1,13,10731,AU,3.0
813,18,Dua Lipa - Dance The Night,139,1,19,7035,AU,11.0
817,22,Dave & Central Cee - Sprinter,132,2,20,6672,AU,20.0
825,30,Billie Eilish - What Was I Made For,90,2,10,5425,AU,28.0
827,32,Miley Cyrus - Flowers,272,1,168,5145,AU,17.0
828,33,Taylor Swift - Anti-Hero,356,1,50,5108,AU,14.0
834,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,AU,15.0
837,42,Harry Styles - As It Was,559,1,177,4017,AU,33.0
843,48,David Kushner - Daylight,181,2,14,3657,AU,36.0
844,49,The Weeknd - Blinding Lights,1354,1,114,3624,AU,32.0
857,62,Taylor Swift - Lover,412,3,13,2739,AU,50.0
865,70,SZA - Kill Bill,307,1,3,2487,AU,103.0
882,87,OneRepublic - I Ain't Worried,492,2,27,1833,AU,26.0
906,111,Post Malone & Swae Lee - Sunflower,1087,3,19,1544,AU,59.0
918,123,Nicki Minaj & Ice Spice - Barbie World,110,2,2,1468,AU,41.0
921,126,Ed Sheeran - Perfect,1982,1,2,1446,AU,94.0
963,168,Glass Animals - Heat Waves,1029,2,13,1177,AU,35.0
980,185,Chris Brown - Under the Influence,432,2,17,1110,AU,186.0
993,198,Elton John & Dua Lipa - Cold Heart,787,1,41,1056,AU,43.0
995,1,Doja Cat - Paint The Town Red,68,1,45,16920,CA,22.0
996,2,Tate McRae - greedy,27,2,9,14619,CA,24.0
997,3,Drake - IDGAF,6,3,1,13364,CA,1.0
998,4,Drake - First Person Shooter,6,3,2,12624,CA,2.0
999,5,Drake - Virginia Beach,6,2,2,12359,CA,3.0
1000,6,Olivia Rodrigo - vampire,104,1,22,10868,CA,30.0
1001,7,Taylor Swift - Cruel Summer,245,1,13,10731,CA,38.0
1012,18,Dua Lipa - Dance The Night,139,1,19,7035,CA,74.0
