,Word,neg,neu,pos,compound
0,the,0.0,1.0,0.0,0.0
1,series,0.0,1.0,0.0,0.0
2,life,0.0,1.0,0.0,0.0
3,jeffrey,0.0,1.0,0.0,0.0
4,"dahmer,",0.0,1.0,0.0,0.0
5,became,0.0,1.0,0.0,0.0
6,one,0.0,1.0,0.0,0.0
7,notorious,1.0,0.0,0.0,-0.4404
8,serial,0.0,1.0,0.0,0.0
9,killers,1.0,0.0,0.0,-0.6486
10,america.,0.0,1.0,0.0,0.0
11,his,0.0,1.0,0.0,0.0
12,murders,1.0,0.0,0.0,-0.6124
13,executed,0.0,1.0,0.0,0.0
14,bath,0.0,1.0,0.0,0.0
15,"township,",0.0,1.0,0.0,0.0
16,"ohio,",0.0,1.0,0.0,0.0
17,west,0.0,1.0,0.0,0.0
18,"allis,",0.0,1.0,0.0,0.0
19,"wisconsin,",0.0,1.0,0.0,0.0
20,"milwaukee,",0.0,1.0,0.0,0.0
21,wisconsin,0.0,1.0,0.0,0.0
22,1978,0.0,1.0,0.0,0.0
23,1991.,0.0,1.0,0.0,0.0
24,the,0.0,1.0,0.0,0.0
25,series,0.0,1.0,0.0,0.0
26,dramatizes,0.0,1.0,0.0,0.0
27,instances,0.0,1.0,0.0,0.0
28,dahmer,0.0,1.0,0.0,0.0
29,nearly,0.0,1.0,0.0,0.0
30,apprehended,0.0,1.0,0.0,0.0
31,ultimate,0.0,1.0,0.0,0.0
32,conviction,0.0,1.0,0.0,0.0
33,death.,1.0,0.0,0.0,-0.5994
34,it,0.0,1.0,0.0,0.0
35,also,0.0,1.0,0.0,0.0
36,explores,0.0,1.0,0.0,0.0
37,police,0.0,1.0,0.0,0.0
38,incompetence,1.0,0.0,0.0,-0.5106
39,apathy,1.0,0.0,0.0,-0.296
40,contributed,0.0,1.0,0.0,0.0
41,enabling,0.0,1.0,0.0,0.0
42,crimes.,0.0,1.0,0.0,0.0
