,Chart Position,Position Duration,Peak,(x?),Points,Country Rank
0,1,68,1,45,16920,29
1,2,27,2,9,14619,44
2,3,6,3,1,13364,1
3,4,6,3,2,12624,2
4,5,6,2,2,12359,3
5,6,104,1,22,10868,40
6,7,245,1,13,10731,51
7,30,90,2,10,5425,116
8,33,356,1,50,5108,140
9,39,393,2,32,4261,177
10,62,412,3,13,2739,147
11,70,307,1,3,2487,62
12,84,76,1,3,1860,52
13,123,110,2,2,1468,173
14,145,73,2,2,1301,125
15,185,432,2,17,1110,92
16,1,68,1,45,16920,1
17,2,27,2,9,14619,2
18,3,6,3,1,13364,8
19,4,6,3,2,12624,5
20,5,6,2,2,12359,6
21,6,104,1,22,10868,11
22,7,245,1,13,10731,19
23,18,139,1,19,7035,28
24,22,132,2,20,6672,16
25,30,90,2,10,5425,49
26,32,272,1,168,5145,72
27,33,356,1,50,5108,42
28,39,393,2,32,4261,41
29,42,559,1,177,4017,70
30,48,181,2,14,3657,123
31,49,1354,1,114,3624,90
32,62,412,3,13,2739,111
33,70,307,1,3,2487,184
34,87,492,2,27,1833,158
35,111,1087,3,19,1544,174
36,123,110,2,2,1468,198
37,126,1982,1,2,1446,136
38,168,1029,2,13,1177,183
39,185,432,2,17,1110,119
40,1,68,1,45,16920,165
41,1,68,1,45,16920,3
42,2,27,2,9,14619,1
43,3,6,3,1,13364,11
44,4,6,3,2,12624,16
45,5,6,2,2,12359,17
46,6,104,1,22,10868,20
47,7,245,1,13,10731,28
48,18,139,1,19,7035,34
49,22,132,2,20,6672,56
50,30,90,2,10,5425,89
51,32,272,1,168,5145,42
52,33,356,1,50,5108,44
53,39,393,2,32,4261,162
54,42,559,1,177,4017,80
55,48,181,2,14,3657,39
56,49,1354,1,114,3624,73
57,70,307,1,3,2487,163
58,84,76,1,3,1860,170
59,87,492,2,27,1833,117
60,123,110,2,2,1468,174
61,145,73,2,2,1301,127
62,1,68,1,45,16920,1
63,2,27,2,9,14619,2
64,3,6,3,1,13364,8
65,4,6,3,2,12624,6
66,5,6,2,2,12359,10
67,6,104,1,22,10868,4
68,7,245,1,13,10731,3
69,18,139,1,19,7035,11
70,22,132,2,20,6672,20
71,30,90,2,10,5425,28
72,32,272,1,168,5145,17
73,33,356,1,50,5108,14
74,39,393,2,32,4261,15
75,42,559,1,177,4017,33
76,48,181,2,14,3657,36
77,49,1354,1,114,3624,32
78,62,412,3,13,2739,50
79,70,307,1,3,2487,103
80,87,492,2,27,1833,26
81,111,1087,3,19,1544,59
82,123,110,2,2,1468,41
83,126,1982,1,2,1446,94
84,168,1029,2,13,1177,35
85,185,432,2,17,1110,186
86,198,787,1,41,1056,43
87,1,68,1,45,16920,22
88,2,27,2,9,14619,24
89,3,6,3,1,13364,1
90,4,6,3,2,12624,2
91,5,6,2,2,12359,3
92,6,104,1,22,10868,30
93,7,245,1,13,10731,38
94,18,139,1,19,7035,74
95,22,132,2,20,6672,48
96,30,90,2,10,5425,62
97,32,272,1,168,5145,88
98,33,356,1,50,5108,68
99,39,393,2,32,4261,63
100,42,559,1,177,4017,144
101,48,181,2,14,3657,82
102,62,412,3,13,2739,84
103,70,307,1,3,2487,116
104,84,76,1,3,1860,43
105,111,1087,3,19,1544,154
106,123,110,2,2,1468,104
107,126,1982,1,2,1446,150
108,145,73,2,2,1301,103
109,168,1029,2,13,1177,158
110,1,68,1,45,16920,9
111,2,27,2,9,14619,18
112,3,6,3,1,13364,30
113,4,6,3,2,12624,51
114,5,6,2,2,12359,38
115,6,104,1,22,10868,195
116,18,139,1,19,7035,74
117,22,132,2,20,6672,121
118,30,90,2,10,5425,170
119,32,272,1,168,5145,124
120,48,181,2,14,3657,128
121,1,68,1,45,16920,46
122,2,27,2,9,14619,50
123,3,6,3,1,13364,28
124,4,6,3,2,12624,40
125,5,6,2,2,12359,30
126,6,104,1,22,10868,55
127,7,245,1,13,10731,100
128,18,139,1,19,7035,68
129,22,132,2,20,6672,176
130,32,272,1,168,5145,193
131,84,76,1,3,1860,144
132,145,73,2,2,1301,161
133,1,68,1,45,16920,16
134,6,104,1,22,10868,79
135,7,245,1,13,10731,64
136,70,307,1,3,2487,98
137,1,68,1,45,16920,139
138,6,104,1,22,10868,160
139,7,245,1,13,10731,109
140,42,559,1,177,4017,171
141,62,412,3,13,2739,166
142,1,68,1,45,16920,11
143,2,27,2,9,14619,74
144,6,104,1,22,10868,64
145,7,245,1,13,10731,4
146,33,356,1,50,5108,117
147,62,412,3,13,2739,32
148,70,307,1,3,2487,110
149,111,1087,3,19,1544,23
150,126,1982,1,2,1446,131
151,185,432,2,17,1110,190
152,1,68,1,45,16920,5
153,2,27,2,9,14619,3
154,3,6,3,1,13364,11
155,4,6,3,2,12624,15
156,5,6,2,2,12359,17
157,6,104,1,22,10868,13
158,7,245,1,13,10731,90
159,18,139,1,19,7035,24
160,22,132,2,20,6672,16
161,30,90,2,10,5425,18
162,32,272,1,168,5145,34
163,33,356,1,50,5108,99
